date,weighted_avg_f,day_over_day_change_f,normal_10yr_f,normal_30yr_f
2026-08-09,75.5,,81.5,81.5
2026-08-10,73.9,-1.6,74.5,74.5
2026-08-11,72.3,-1.6,66.5,66.5
2026-08-12,70.3,-2.0,66.4,66.4
2026-08-13,69.6,-0.7,71.6,71.6
2026-08-14,66.6,-3.0,82.8,82.8
2026-08-15,63.6,-3.0,86.8,86.8
2026-08-16,62.5,-1.1,,
2026-08-17,67.2,4.7,,
2026-08-18,68.9,1.7,,
2026-08-19,70.8,1.9,,
2026-08-20,64.9,-5.9,,
2026-08-21,64.9,0.0,,
2026-08-22,68.7,3.8,,
2026-08-23,66.2,-2.5,,
