date,weighted_avg_f,day_over_day_change_f,normal_10yr_f,normal_30yr_f
2026-07-12,75.2,,69.3,69.3
2026-07-13,77.7,2.5,69.4,69.4
2026-07-14,78.1,0.4,69.8,69.8
2026-07-15,79.2,1.1,73.7,73.7
2026-07-16,74.3,-4.9,77.6,77.6
2026-07-17,67.8,-6.5,80.4,80.4
2026-07-18,66.4,-1.4,73.4,73.4
2026-07-19,66.3,-0.1,,
2026-07-20,74.5,8.2,,
2026-07-21,71.9,-2.6,,
2026-07-22,68.8,-3.1,,
2026-07-23,68.4,-0.4,,
2026-07-24,70.2,1.8,,
2026-07-25,72.5,2.3,,
2026-07-26,71.9,-0.6,,
