date,weighted_avg_f,day_over_day_change_f,normal_10yr_f,normal_30yr_f
2026-07-30,71.6,,66.3,57.7
2026-07-31,76.6,5.0,70.7,62.1
2026-08-01,75.8,-0.8,77.6,68.0
2026-08-02,69.4,-6.4,77.6,67.7
2026-08-03,66.4,-3.0,80.5,70.4
2026-08-04,66.1,-0.3,72.9,63.4
2026-08-05,72.1,6.0,73.1,63.6
2026-08-06,73.2,1.1,,
2026-08-07,72.6,-0.6,,
2026-08-08,73.8,1.2,,
2026-08-09,72.8,-1.0,,
2026-08-10,71.6,-1.2,,
2026-08-11,68.9,-2.7,,
2026-08-12,66.9,-2.0,,
2026-08-13,67.5,0.6,,
