date,weighted_avg_f,day_over_day_change_f,normal_10yr_f,normal_30yr_f
2026-09-06,65.6,,81.6,81.6
2026-09-07,66.9,1.3,77.0,77.0
2026-09-08,69.6,2.7,84.6,84.6
2026-09-09,71.7,2.1,86.1,86.1
2026-09-10,68.1,-3.6,84.6,84.6
2026-09-11,66.2,-1.9,83.2,83.2
2026-09-12,70.2,4.0,69.6,69.6
2026-09-13,74.1,3.9,,
2026-09-14,72.2,-1.9,,
2026-09-15,56.8,-15.4,,
2026-09-16,56.5,-0.3,,
2026-09-17,57.1,0.6,,
2026-09-18,60.0,2.9,,
2026-09-19,59.6,-0.4,,
2026-09-20,62.0,2.4,,
