date,weighted_avg_f,day_over_day_change_f,normal_10yr_f,normal_30yr_f
2026-07-07,74.6,,81.1,80.2
2026-07-08,76.8,2.2,80.1,79.3
2026-07-09,76.8,0.0,78.6,77.8
2026-07-10,73.7,-3.1,77.0,76.2
2026-07-11,72.0,-1.7,72.6,71.8
2026-07-12,72.3,0.3,69.3,68.6
2026-07-13,73.4,1.1,69.4,68.7
2026-07-14,78.2,4.8,,
2026-07-15,74.4,-3.8,,
2026-07-16,70.5,-3.9,,
2026-07-17,68.3,-2.2,,
2026-07-18,63.8,-4.5,,
2026-07-19,62.1,-1.7,,
2026-07-20,64.2,2.1,,
2026-07-21,67.4,3.2,,
