date,weighted_avg_f,day_over_day_change_f,normal_10yr_f,normal_30yr_f
2025-10-02,61.5,,55.4,55.4
2025-10-03,66.1,4.6,48.9,48.9
2025-10-04,69.1,3.0,42.9,42.9
2025-10-05,69.1,0.0,54.3,54.3
2025-10-06,69.7,0.6,64.7,64.7
2025-10-07,68.8,-0.9,66.4,66.4
2025-10-08,60.2,-8.6,70.9,70.9
2025-10-09,50.3,-9.9,,
2025-10-10,51.2,0.9,,
2025-10-11,56.1,4.9,,
2025-10-12,58.8,2.7,,
2025-10-13,61.0,2.2,,
2025-10-14,63.2,2.2,,
2025-10-15,66.4,3.2,,
2025-10-16,56.3,-10.1,,
