date,weighted_avg_f,day_over_day_change_f,normal_10yr_f,normal_30yr_f
2026-04-22,64.4,,58.8,58.8
2026-04-23,65.8,1.4,60.1,60.1
2026-04-24,64.7,-1.1,66.2,66.2
2026-04-25,56.8,-7.9,72.4,72.4
2026-04-26,55.2,-1.6,69.5,69.5
2026-04-27,58.9,3.7,47.6,47.6
2026-04-28,55.3,-3.6,45.1,45.1
2026-04-29,51.8,-3.5,,
2026-04-30,46.8,-5.0,,
2026-05-01,44.4,-2.4,,
2026-05-02,42.3,-2.1,,
2026-05-03,45.4,3.1,,
2026-05-04,41.4,-4.0,,
2026-05-05,37.1,-4.3,,
2026-05-06,40.5,3.4,,
