date,weighted_avg_f,day_over_day_change_f,normal_10yr_f,normal_30yr_f
2026-04-24,68.4,,66.2,66.2
2026-04-25,50.7,-17.7,72.4,72.4
2026-04-26,51.1,0.4,69.5,69.5
2026-04-27,56.9,5.8,47.6,47.6
2026-04-28,55.5,-1.4,45.1,45.1
2026-04-29,46.7,-8.8,48.4,48.4
2026-04-30,42.2,-4.5,53.9,53.9
2026-05-01,42.7,0.5,,
2026-05-02,43.0,0.3,,
2026-05-03,43.9,0.9,,
2026-05-04,51.2,7.3,,
2026-05-05,59.0,7.8,,
2026-05-06,53.7,-5.3,,
2026-05-07,43.9,-9.8,,
2026-05-08,45.7,1.8,,
